Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,008050,1917,07,19.5,Y
IDCJAC0002,008050,1917,08,19.5,Y
IDCJAC0002,008050,1917,09,20.0,Y
IDCJAC0002,008050,1917,10,23.4,Y
IDCJAC0002,008050,1917,11,26.2,Y
IDCJAC0002,008050,1917,12,27.3,Y
IDCJAC0002,008050,1918,01,32.5,Y
IDCJAC0002,008050,1918,02,29.8,Y
IDCJAC0002,008050,1918,03,29.4,Y
IDCJAC0002,008050,1918,04,27.9,Y
IDCJAC0002,008050,1918,05,23.6,Y
IDCJAC0002,008050,1918,06,21.5,Y
IDCJAC0002,008050,1918,07,20.9,Y
IDCJAC0002,008050,1918,08,20.1,Y
IDCJAC0002,008050,1918,09,22.4,Y
IDCJAC0002,008050,1918,10,22.8,Y
IDCJAC0002,008050,1918,11,25.8,Y
IDCJAC0002,008050,1918,12,27.7,Y
IDCJAC0002,008050,1919,01,27.0,Y
IDCJAC0002,008050,1919,02,29.0,Y
IDCJAC0002,008050,1919,03,29.1,Y
IDCJAC0002,008050,1919,04,27.0,Y
IDCJAC0002,008050,1919,05,24.6,Y
IDCJAC0002,008050,1919,06,21.3,Y
IDCJAC0002,008050,1919,07,21.3,Y
IDCJAC0002,008050,1919,08,20.4,Y
IDCJAC0002,008050,1919,09,21.8,Y
IDCJAC0002,008050,1919,10,22.4,Y
IDCJAC0002,008050,1919,11,25.0,Y
IDCJAC0002,008050,1919,12,25.3,Y
IDCJAC0002,008050,1920,01,32.0,Y
IDCJAC0002,008050,1920,02,29.4,Y
IDCJAC0002,008050,1920,03,28.1,Y
IDCJAC0002,008050,1920,04,28.9,Y
IDCJAC0002,008050,1920,05,23.1,Y
IDCJAC0002,008050,1920,06,20.4,Y
IDCJAC0002,008050,1920,07,19.4,Y
IDCJAC0002,008050,1920,08,18.5,Y
IDCJAC0002,008050,1920,09,22.3,Y
IDCJAC0002,008050,1920,10,23.8,Y
IDCJAC0002,008050,1920,11,26.6,Y
IDCJAC0002,008050,1920,12,28.0,Y
IDCJAC0002,008050,1921,01,30.7,Y
IDCJAC0002,008050,1921,02,33.0,Y
IDCJAC0002,008050,1921,03,31.5,Y
IDCJAC0002,008050,1921,04,27.8,Y
IDCJAC0002,008050,1921,05,22.6,Y
IDCJAC0002,008050,1921,06,21.6,Y
IDCJAC0002,008050,1921,07,20.7,Y
IDCJAC0002,008050,1921,08,21.7,Y
IDCJAC0002,008050,1921,09,21.8,Y
IDCJAC0002,008050,1921,10,23.5,Y
IDCJAC0002,008050,1921,11,25.0,Y
IDCJAC0002,008050,1921,12,28.3,Y
IDCJAC0002,008050,1922,01,28.2,Y
IDCJAC0002,008050,1922,02,30.1,Y
IDCJAC0002,008050,1922,03,30.1,Y
