Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009025,1946,01,1.1,Y
IDCJAC0001,009025,1946,02,3.3,Y
IDCJAC0001,009025,1946,03,20.2,Y
IDCJAC0001,009025,1946,04,65.6,Y
IDCJAC0001,009025,1946,05,155.2,Y
IDCJAC0001,009025,1946,06,215.4,Y
IDCJAC0001,009025,1946,07,381.0,Y
IDCJAC0001,009025,1946,08,132.1,Y
IDCJAC0001,009025,1946,09,31.3,Y
IDCJAC0001,009025,1946,10,4.3,Y
IDCJAC0001,009025,1946,11,92.4,Y
IDCJAC0001,009025,1946,12,15.8,Y
IDCJAC0001,009025,1947,01,0.5,Y
IDCJAC0001,009025,1947,02,0.3,Y
IDCJAC0001,009025,1947,03,16.5,Y
IDCJAC0001,009025,1947,04,77.8,Y
IDCJAC0001,009025,1947,05,199.3,Y
IDCJAC0001,009025,1947,06,296.0,Y
IDCJAC0001,009025,1947,07,148.9,Y
IDCJAC0001,009025,1947,08,48.3,Y
IDCJAC0001,009025,1947,09,77.8,Y
IDCJAC0001,009025,1947,10,120.1,Y
IDCJAC0001,009025,1947,11,17.3,Y
IDCJAC0001,009025,1947,12,7.6,Y
IDCJAC0001,009025,1948,01,0.0,Y
IDCJAC0001,009025,1948,02,1.0,Y
IDCJAC0001,009025,1948,03,31.9,Y
IDCJAC0001,009025,1948,04,45.5,Y
IDCJAC0001,009025,1948,05,19.2,Y
IDCJAC0001,009025,1948,06,185.1,Y
IDCJAC0001,009025,1948,07,214.3,Y
IDCJAC0001,009025,1948,08,121.7,Y
IDCJAC0001,009025,1948,09,124.6,Y
IDCJAC0001,009025,1948,10,43.8,Y
IDCJAC0001,009025,1948,11,59.7,Y
IDCJAC0001,009025,1948,12,22.2,Y
IDCJAC0001,009025,1949,01,7.1,Y
IDCJAC0001,009025,1949,02,8.6,Y
IDCJAC0001,009025,1949,03,19.3,Y
IDCJAC0001,009025,1949,04,50.3,Y
IDCJAC0001,009025,1949,05,16.4,Y
IDCJAC0001,009025,1949,06,82.8,Y
IDCJAC0001,009025,1949,07,175.4,Y
IDCJAC0001,009025,1949,08,150.3,Y
IDCJAC0001,009025,1949,09,49.4,Y
IDCJAC0001,009025,1949,10,80.2,Y
IDCJAC0001,009025,1949,11,33.0,Y
IDCJAC0001,009025,1949,12,0.0,Y
IDCJAC0001,009025,1950,01,3.8,Y
IDCJAC0001,009025,1950,02,1.3,Y
IDCJAC0001,009025,1950,03,0.0,Y
IDCJAC0001,009025,1950,04,0.5,Y
IDCJAC0001,009025,1950,05,163.9,Y
IDCJAC0001,009025,1950,06,192.1,Y
IDCJAC0001,009025,1950,07,148.5,Y
IDCJAC0001,009025,1950,08,97.3,Y
IDCJAC0001,009025,1950,09,100.4,Y
IDCJAC0001,009025,1950,10,54.2,Y
IDCJAC0001,009025,1950,11,43.6,Y
IDCJAC0001,009025,1950,12,6.1,Y
IDCJAC0001,009025,1951,01,4.1,Y
IDCJAC0001,009025,1951,02,26.7,Y
IDCJAC0001,009025,1951,03,2.3,Y
IDCJAC0001,009025,1951,04,133.9,Y
IDCJAC0001,009025,1951,05,55.0,Y
IDCJAC0001,009025,1951,06,236.0,Y
IDCJAC0001,009025,1951,07,100.1,Y
IDCJAC0001,009025,1951,08,136.0,Y
IDCJAC0001,009025,1951,09,24.9,Y
IDCJAC0001,009025,1951,10,48.3,Y
IDCJAC0001,009025,1951,11,25.0,Y
IDCJAC0001,009025,1951,12,69.5,Y
IDCJAC0001,009025,1952,01,3.0,Y
IDCJAC0001,009025,1952,02,4.6,Y
IDCJAC0001,009025,1952,03,33.0,Y
IDCJAC0001,009025,1952,04,1.8,Y
IDCJAC0001,009025,1952,05,108.2,Y
IDCJAC0001,009025,1952,06,189.0,Y
IDCJAC0001,009025,1952,07,183.2,Y
IDCJAC0001,009025,1952,08,104.7,Y
IDCJAC0001,009025,1952,09,89.8,Y
IDCJAC0001,009025,1952,10,75.1,Y
IDCJAC0001,009025,1952,11,22.1,Y
IDCJAC0001,009025,1952,12,37.6,Y
IDCJAC0001,009025,1953,01,0.8,Y
IDCJAC0001,009025,1953,02,36.1,Y
IDCJAC0001,009025,1953,03,3.1,Y
IDCJAC0001,009025,1953,04,25.6,Y
IDCJAC0001,009025,1953,05,176.3,Y
IDCJAC0001,009025,1953,06,225.5,Y
IDCJAC0001,009025,1953,07,133.9,Y
IDCJAC0001,009025,1953,08,87.6,Y
IDCJAC0001,009025,1953,09,53.0,Y
IDCJAC0001,009025,1953,10,85.1,Y
IDCJAC0001,009025,1953,11,41.5,Y
IDCJAC0001,009025,1953,12,0.0,Y
IDCJAC0001,009025,1954,01,12.8,Y
IDCJAC0001,009025,1954,02,0.8,Y
IDCJAC0001,009025,1954,03,2.0,Y
IDCJAC0001,009025,1954,04,34.6,Y
IDCJAC0001,009025,1954,05,145.3,Y
IDCJAC0001,009025,1954,06,121.8,Y
IDCJAC0001,009025,1954,07,162.0,Y
IDCJAC0001,009025,1954,08,133.2,Y
IDCJAC0001,009025,1954,09,42.5,Y
IDCJAC0001,009025,1954,10,17.5,Y
IDCJAC0001,009025,1954,11,29.1,Y
IDCJAC0001,009025,1954,12,7.2,Y
IDCJAC0001,009025,1955,01,2.0,Y
IDCJAC0001,009025,1955,02,116.9,Y
IDCJAC0001,009025,1955,03,1.3,Y
IDCJAC0001,009025,1955,04,78.0,Y
IDCJAC0001,009025,1955,05,115.1,Y
IDCJAC0001,009025,1955,06,108.0,Y
IDCJAC0001,009025,1955,07,163.9,Y
IDCJAC0001,009025,1955,08,313.3,Y
IDCJAC0001,009025,1955,09,105.0,Y
IDCJAC0001,009025,1955,10,117.4,Y
IDCJAC0001,009025,1955,11,2.5,Y
IDCJAC0001,009025,1955,12,13.2,Y
IDCJAC0001,009025,1956,01,0.0,Y
IDCJAC0001,009025,1956,02,0.8,Y
IDCJAC0001,009025,1956,03,27.9,Y
IDCJAC0001,009025,1956,04,51.8,Y
IDCJAC0001,009025,1956,05,230.4,Y
IDCJAC0001,009025,1956,06,188.4,Y
IDCJAC0001,009025,1956,07,207.5,Y
IDCJAC0001,009025,1956,08,33.0,Y
IDCJAC0001,009025,1956,09,61.7,Y
IDCJAC0001,009025,1956,10,39.3,Y
IDCJAC0001,009025,1956,11,40.0,Y
IDCJAC0001,009025,1956,12,2.3,Y
IDCJAC0001,009025,1957,01,20.6,Y
IDCJAC0001,009025,1957,02,1.3,Y
IDCJAC0001,009025,1957,03,2.3,Y
IDCJAC0001,009025,1957,04,70.7,Y
IDCJAC0001,009025,1957,05,103.4,Y
IDCJAC0001,009025,1957,06,288.5,Y
IDCJAC0001,009025,1957,07,80.8,Y
IDCJAC0001,009025,1957,08,130.9,Y
IDCJAC0001,009025,1957,09,37.5,Y
IDCJAC0001,009025,1957,10,56.9,Y
IDCJAC0001,009025,1957,11,1.0,Y
IDCJAC0001,009025,1957,12,1.5,Y
IDCJAC0001,009025,1958,01,11.2,Y
IDCJAC0001,009025,1958,02,0.0,Y
IDCJAC0001,009025,1958,03,0.0,Y
IDCJAC0001,009025,1958,04,12.2,Y
IDCJAC0001,009025,1958,05,114.2,Y
IDCJAC0001,009025,1958,06,65.0,Y
IDCJAC0001,009025,1958,07,423.9,Y
IDCJAC0001,009025,1958,08,36.6,Y
IDCJAC0001,009025,1958,09,26.5,Y
IDCJAC0001,009025,1958,10,50.5,Y
IDCJAC0001,009025,1958,11,11.7,Y
IDCJAC0001,009025,1958,12,18.5,Y
IDCJAC0001,009025,1959,01,3.3,Y
IDCJAC0001,009025,1959,02,5.3,Y
IDCJAC0001,009025,1959,03,19.8,Y
IDCJAC0001,009025,1959,04,28.7,Y
IDCJAC0001,009025,1959,05,27.8,Y
IDCJAC0001,009025,1959,06,192.8,Y
IDCJAC0001,009025,1959,07,57.9,Y
IDCJAC0001,009025,1959,08,103.3,Y
IDCJAC0001,009025,1959,09,32.2,Y
IDCJAC0001,009025,1959,10,63.7,Y
IDCJAC0001,009025,1959,11,38.5,Y
IDCJAC0001,009025,1959,12,12.4,Y
IDCJAC0001,009025,1960,01,22.4,Y
IDCJAC0001,009025,1960,02,18.0,Y
IDCJAC0001,009025,1960,03,46.5,Y
IDCJAC0001,009025,1960,04,21.8,Y
IDCJAC0001,009025,1960,05,136.2,Y
IDCJAC0001,009025,1960,06,98.1,Y
